DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
095901,027,FOOD AND SCIENCE TECHNOLOGY,      17,       0,,
095901,030,HEALTH AND WELLNESS,.,       0,,
095901,031,HEALTH INFORMATICS,.,       0,,
095901,032,HEALTHCARE DIAGNOSTICS,      10,.,,
095901,033,HEALTHCARE THERAPEUTIC,      10,.,,
095901,038,LODGING AND RESORT MANAGEMENT,.,       0,,
095901,040,MARKETING AND SALES,       6,       0,,
095901,043,NURSING SCIENCE,      10,.,,
095901,045,PLANT SCIENCE,      58,       5,,
095901,050,TEACHING AND TRAINING,      31,       0,,
095901,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
095901,059,MEDICAL THERAPY,.,       0,,
095901,060,WELDING,.,       0,,
095902,003,AGRIBUSINESS,       0,.,,
095902,004,ANIMAL SCIENCE,      20,.,,
095902,005,APPLIED AGRICULTURAL ENGINEERING,      14,.,,
095902,011,BUSINESS MANAGEMENT,.,       0,,
095902,024,ENVIRONMENTAL AND NATURAL RESOURCES,      13,       0,,
095902,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
095902,045,PLANT SCIENCE,      17,.,,
095902,060,WELDING,.,       0,,
095903,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
095903,003,AGRIBUSINESS,       5,       0,,
095903,004,ANIMAL SCIENCE,      39,.,,
095903,005,APPLIED AGRICULTURAL ENGINEERING,      49,       8,,
095903,012,CARPENTRY,      11,       0,,
095903,014,CULINARY ARTS,      14,.,,
095903,015,CYBERSECURITY,.,       0,,
095903,017,DIGITAL COMMUNICATIONS,       7,       0,,
095903,019,EARLY LEARNING,       8,       0,,
095903,021,EMERGENCY SERVICES,      15,       0,,
095903,022,ENGINEERING,.,       0,,
095903,024,ENVIRONMENTAL AND NATURAL RESOURCES,       5,       0,,
095903,026,FAMILY AND COMMUNITY SERVICES,      20,.,,
095903,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
095903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       6,       0,,
095903,031,HEALTH INFORMATICS,      15,       0,,
095903,032,HEALTHCARE DIAGNOSTICS,      29,.,,
095903,033,HEALTHCARE THERAPEUTIC,      29,.,,
095903,036,LAW ENFORCEMENT,      13,       0,,
095903,043,NURSING SCIENCE,      25,.,,
095903,045,PLANT SCIENCE,      16,.,,
095903,049,RENEWABLE ENERGY,.,       0,,
095903,050,TEACHING AND TRAINING,      17,.,,
095903,052,WEB DEVELOPMENT,.,       0,,
095903,059,MEDICAL THERAPY,      19,       0,,
095904,001,ACCOUNTING AND FINANCIAL SERVICES,      11,       0,,
095904,003,AGRIBUSINESS,       5,       0,,
095904,004,ANIMAL SCIENCE,.,       0,,
095904,005,APPLIED AGRICULTURAL ENGINEERING,      23,       5,,
095904,011,BUSINESS MANAGEMENT,       7,       0,,
095904,019,EARLY LEARNING,       9,       8,,
095904,023,ENTREPRENEURSHIP,       6,       0,,
095904,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
095904,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
095904,045,PLANT SCIENCE,      12,       0,,
095904,046,PLUMBING AND PIPEFITTING,.,       0,,
095904,050,TEACHING AND TRAINING,      16,.,,
095905,001,ACCOUNTING AND FINANCIAL SERVICES,     102,       6,,
095905,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      42,       8,,
095905,003,AGRIBUSINESS,       9,.,,
095905,004,ANIMAL SCIENCE,      84,      18,,
095905,005,APPLIED AGRICULTURAL ENGINEERING,      50,       0,,
095905,011,BUSINESS MANAGEMENT,      88,.,,
095905,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
095905,014,CULINARY ARTS,      72,       7,,
095905,015,CYBERSECURITY,      14,       0,,
095905,017,DIGITAL COMMUNICATIONS,      28,.,,
095905,019,EARLY LEARNING,      19,       0,,
095905,021,EMERGENCY SERVICES,      39,       0,,
095905,022,ENGINEERING,      19,       0,,
095905,023,ENTREPRENEURSHIP,      48,.,,
095905,024,ENVIRONMENTAL AND NATURAL RESOURCES,      24,       0,,
095905,025,EXERCISE SCIENCE AND WELLNESS,      17,       0,,
095905,026,FAMILY AND COMMUNITY SERVICES,     123,      18,,
095905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      51,.,,
095905,030,HEALTH AND WELLNESS,      81,      13,,
095905,031,HEALTH INFORMATICS,     141,       0,,
095905,032,HEALTHCARE DIAGNOSTICS,     114,      57,,
095905,033,HEALTHCARE THERAPEUTIC,     114,      57,,
095905,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
095905,036,LAW ENFORCEMENT,      95,      32,,
095905,037,LEGAL STUDIES,      13,       0,,
095905,038,LODGING AND RESORT MANAGEMENT,      12,       0,,
095905,040,MARKETING AND SALES,       5,       0,,
095905,042,NETWORKING SYSTEMS,      15,       0,,
095905,043,NURSING SCIENCE,     155,       0,,
095905,045,PLANT SCIENCE,      74,      11,,
095905,046,PLUMBING AND PIPEFITTING,       8,       0,,
095905,050,TEACHING AND TRAINING,     104,      23,,
095905,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      16,       0,,
095905,052,WEB DEVELOPMENT,      15,       0,,
095905,059,MEDICAL THERAPY,     127,      40,,
095905,060,WELDING,      82,      23,,
096904,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
096904,003,AGRIBUSINESS,      29,       5,,
096904,004,ANIMAL SCIENCE,      14,.,,
096904,005,APPLIED AGRICULTURAL ENGINEERING,      12,.,,
096904,012,CARPENTRY,.,       0,,
096904,017,DIGITAL COMMUNICATIONS,       5,       0,,
096904,019,EARLY LEARNING,       7,.,,
096904,020,ELECTRICAL,.,       0,,
096904,024,ENVIRONMENTAL AND NATURAL RESOURCES,       5,.,,
096904,025,EXERCISE SCIENCE AND WELLNESS,       7,       0,,
096904,026,FAMILY AND COMMUNITY SERVICES,      34,.,,
096904,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
096904,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      25,.,,
096904,030,HEALTH AND WELLNESS,       7,       0,,
096904,034,HVAC AND SHEET METAL,.,       0,,
096904,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
096904,041,MASONRY,.,       0,,
096904,042,NETWORKING SYSTEMS,.,       0,,
096904,045,PLANT SCIENCE,      30,.,,
096904,046,PLUMBING AND PIPEFITTING,       8,       0,,
096904,050,TEACHING AND TRAINING,       7,.,,
096904,052,WEB DEVELOPMENT,       5,.,,
096904,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
096904,060,WELDING,.,       0,,
096905,004,ANIMAL SCIENCE,      32,       0,,
096905,005,APPLIED AGRICULTURAL ENGINEERING,      25,      12,,
096905,011,BUSINESS MANAGEMENT,.,       0,,
096905,014,CULINARY ARTS,       9,       0,,
096905,019,EARLY LEARNING,       9,       0,,
096905,026,FAMILY AND COMMUNITY SERVICES,      13,.,,
096905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
096905,030,HEALTH AND WELLNESS,.,       0,,
096905,045,PLANT SCIENCE,.,       0,,
096905,050,TEACHING AND TRAINING,      13,.,,
097902,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
097902,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
097902,003,AGRIBUSINESS,      21,       0,,
097902,004,ANIMAL SCIENCE,      34,       5,,
097902,005,APPLIED AGRICULTURAL ENGINEERING,      32,      28,,
097902,011,BUSINESS MANAGEMENT,       5,       0,,
097902,013,COSMETOLOGY AND PERSONAL CARE SERVICES,       5,.,,
097902,014,CULINARY ARTS,      13,       0,,
097902,019,EARLY LEARNING,      11,       0,,
097902,022,ENGINEERING,.,       0,,
097902,024,ENVIRONMENTAL AND NATURAL RESOURCES,      24,.,,
097902,026,FAMILY AND COMMUNITY SERVICES,      37,       0,,
097902,027,FOOD AND SCIENCE TECHNOLOGY,      15,.,,
097902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
097902,032,HEALTHCARE DIAGNOSTICS,.,.,,
097902,033,HEALTHCARE THERAPEUTIC,.,.,,
097902,036,LAW ENFORCEMENT,.,       0,,
097902,043,NURSING SCIENCE,.,       0,,
097902,045,PLANT SCIENCE,      60,      10,,
097902,050,TEACHING AND TRAINING,      11,       0,,
097902,059,MEDICAL THERAPY,.,       0,,
097902,060,WELDING,       5,       0,,
097902,061,DRONE (UNMANNED FLIGHT),.,       0,,
097903,001,ACCOUNTING AND FINANCIAL SERVICES,       6,       0,,
097903,004,ANIMAL SCIENCE,      31,.,,
097903,005,APPLIED AGRICULTURAL ENGINEERING,      24,.,,
097903,015,CYBERSECURITY,      15,       0,,
097903,017,DIGITAL COMMUNICATIONS,       5,       0,,
097903,019,EARLY LEARNING,.,       0,,
097903,024,ENVIRONMENTAL AND NATURAL RESOURCES,      17,       0,,
097903,026,FAMILY AND COMMUNITY SERVICES,      12,       0,,
097903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
097903,030,HEALTH AND WELLNESS,.,       0,,
097903,045,PLANT SCIENCE,      37,       0,,
097903,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      13,.,,
097903,050,TEACHING AND TRAINING,       7,       0,,
097903,052,WEB DEVELOPMENT,.,       0,,
097903,060,WELDING,.,       0,,
097903,061,DRONE (UNMANNED FLIGHT),       5,       0,,
098901,001,ACCOUNTING AND FINANCIAL SERVICES,      19,       0,,
098901,004,ANIMAL SCIENCE,      22,.,,
098901,005,APPLIED AGRICULTURAL ENGINEERING,      29,      14,,
098901,015,CYBERSECURITY,      12,       0,,
098901,019,EARLY LEARNING,      24,       0,,
098901,021,EMERGENCY SERVICES,      10,       0,,
098901,024,ENVIRONMENTAL AND NATURAL RESOURCES,       9,       0,,
098901,025,EXERCISE SCIENCE AND WELLNESS,      10,       0,,
098901,026,FAMILY AND COMMUNITY SERVICES,      29,       9,,
098901,027,FOOD AND SCIENCE TECHNOLOGY,       8,       0,,
098901,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      13,       0,,
098901,030,HEALTH AND WELLNESS,      21,       0,,
098901,031,HEALTH INFORMATICS,      14,       0,,
098901,032,HEALTHCARE DIAGNOSTICS,      24,.,,
098901,033,HEALTHCARE THERAPEUTIC,      24,.,,
098901,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      12,       0,,
098901,042,NETWORKING SYSTEMS,      12,       0,,
098901,043,NURSING SCIENCE,      28,       0,,
098901,045,PLANT SCIENCE,       9,       0,,
098901,050,TEACHING AND TRAINING,      35,.,,
098901,052,WEB DEVELOPMENT,      18,       0,,
098901,059,MEDICAL THERAPY,      11,.,,
098903,015,CYBERSECURITY,.,       0,,
098904,001,ACCOUNTING AND FINANCIAL SERVICES,      40,      10,,
098904,003,AGRIBUSINESS,       5,       0,,
098904,004,ANIMAL SCIENCE,      36,       0,,
098904,005,APPLIED AGRICULTURAL ENGINEERING,      52,.,,
098904,011,BUSINESS MANAGEMENT,.,       0,,
098904,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
098904,014,CULINARY ARTS,.,       0,,
098904,017,DIGITAL COMMUNICATIONS,.,       0,,
098904,019,EARLY LEARNING,      21,.,,
098904,020,ELECTRICAL,.,       0,,
098904,021,EMERGENCY SERVICES,.,       0,,
098904,022,ENGINEERING,.,       0,,
098904,023,ENTREPRENEURSHIP,.,       0,,
098904,024,ENVIRONMENTAL AND NATURAL RESOURCES,      24,       0,,
098904,026,FAMILY AND COMMUNITY SERVICES,      25,.,,
098904,027,FOOD AND SCIENCE TECHNOLOGY,      10,       0,,
098904,030,HEALTH AND WELLNESS,.,       0,,
098904,031,HEALTH INFORMATICS,      24,       0,,
098904,032,HEALTHCARE DIAGNOSTICS,      32,      21,,
098904,033,HEALTHCARE THERAPEUTIC,      32,      21,,
098904,034,HVAC AND SHEET METAL,.,       0,,
098904,043,NURSING SCIENCE,      42,       0,,
098904,045,PLANT SCIENCE,      38,       0,,
098904,046,PLUMBING AND PIPEFITTING,.,       0,,
098904,049,RENEWABLE ENERGY,.,       0,,
098904,050,TEACHING AND TRAINING,      21,       0,,
098904,059,MEDICAL THERAPY,      33,      12,,
098904,060,WELDING,      13,.,,
099902,004,ANIMAL SCIENCE,       9,       0,,
099902,005,APPLIED AGRICULTURAL ENGINEERING,      26,.,,
099902,019,EARLY LEARNING,      10,       0,,
099902,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
099902,026,FAMILY AND COMMUNITY SERVICES,      16,       0,,
099902,045,PLANT SCIENCE,       6,       0,,
099902,050,TEACHING AND TRAINING,      10,       0,,
099902,060,WELDING,       6,       0,,
099903,001,ACCOUNTING AND FINANCIAL SERVICES,      19,.,,
099903,003,AGRIBUSINESS,       5,       0,,
099903,004,ANIMAL SCIENCE,      33,       6,,
099903,005,APPLIED AGRICULTURAL ENGINEERING,      31,.,,
099903,011,BUSINESS MANAGEMENT,      22,.,,
099903,014,CULINARY ARTS,      20,       7,,
099903,019,EARLY LEARNING,.,       0,,
099903,023,ENTREPRENEURSHIP,      19,.,,
099903,024,ENVIRONMENTAL AND NATURAL RESOURCES,      13,       0,,
099903,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
099903,026,FAMILY AND COMMUNITY SERVICES,      21,.,,
099903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      11,       0,,
099903,030,HEALTH AND WELLNESS,      12,       0,,
099903,032,HEALTHCARE DIAGNOSTICS,.,       0,,
099903,033,HEALTHCARE THERAPEUTIC,.,       0,,
099903,040,MARKETING AND SALES,.,       0,,
099903,043,NURSING SCIENCE,.,       0,,
099903,045,PLANT SCIENCE,      56,      10,,
099903,046,PLUMBING AND PIPEFITTING,.,       0,,
099903,050,TEACHING AND TRAINING,      15,       9,,
099903,060,WELDING,      17,       7,,
100903,001,ACCOUNTING AND FINANCIAL SERVICES,      44,.,,
100903,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,       6,       0,,
100903,003,AGRIBUSINESS,      19,.,,
100903,004,ANIMAL SCIENCE,      27,.,,
100903,005,APPLIED AGRICULTURAL ENGINEERING,      30,       8,,
100903,006,ARCHITECTURAL DESIGN,       9,       0,,
100903,011,BUSINESS MANAGEMENT,      36,.,,
100903,012,CARPENTRY,      21,       6,,
100903,014,CULINARY ARTS,.,       0,,
100903,017,DIGITAL COMMUNICATIONS,      10,       0,,
100903,019,EARLY LEARNING,      17,.,,
100903,020,ELECTRICAL,.,       0,,
100903,021,EMERGENCY SERVICES,       8,       0,,
100903,023,ENTREPRENEURSHIP,      18,.,,
100903,024,ENVIRONMENTAL AND NATURAL RESOURCES,      11,       0,,
100903,025,EXERCISE SCIENCE AND WELLNESS,      10,       0,,
100903,026,FAMILY AND COMMUNITY SERVICES,      60,.,,
100903,027,FOOD AND SCIENCE TECHNOLOGY,      24,.,,
100903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      35,      12,,
100903,030,HEALTH AND WELLNESS,      12,       0,,
100903,031,HEALTH INFORMATICS,      64,       0,,
100903,032,HEALTHCARE DIAGNOSTICS,      31,      19,,
100903,033,HEALTHCARE THERAPEUTIC,      29,      22,,
100903,034,HVAC AND SHEET METAL,.,       0,,
100903,036,LAW ENFORCEMENT,.,       0,,
100903,038,LODGING AND RESORT MANAGEMENT,.,       0,,
100903,040,MARKETING AND SALES,.,       0,,
100903,041,MASONRY,.,       0,,
100903,043,NURSING SCIENCE,      39,       7,,
100903,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
100903,045,PLANT SCIENCE,      37,       7,,
100903,046,PLUMBING AND PIPEFITTING,      12,.,,
100903,048,REFINING AND CHEMICAL PROCESSES,.,       0,,
100903,050,TEACHING AND TRAINING,      26,      12,,
100903,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
100903,052,WEB DEVELOPMENT,.,       0,,
100903,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
100903,059,MEDICAL THERAPY,      27,      16,,
100903,060,WELDING,.,       0,,
100903,064,PRINTING AND IMAGING,.,       0,,
100904,001,ACCOUNTING AND FINANCIAL SERVICES,      63,      11,,
100904,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      36,.,,
100904,003,AGRIBUSINESS,      42,      18,,
100904,004,ANIMAL SCIENCE,     102,      14,,
100904,005,APPLIED AGRICULTURAL ENGINEERING,      64,       0,,
100904,007,AUTOMOTIVE,      12,      15,,
100904,011,BUSINESS MANAGEMENT,      46,       7,,
100904,012,CARPENTRY,.,       0,,
100904,014,CULINARY ARTS,      37,       6,,
100904,015,CYBERSECURITY,      38,       0,,
100904,017,DIGITAL COMMUNICATIONS,      68,      11,,
100904,019,EARLY LEARNING,      81,      11,,
100904,020,ELECTRICAL,.,       0,,
100904,021,EMERGENCY SERVICES,      45,       0,,
100904,022,ENGINEERING,.,.,,
100904,023,ENTREPRENEURSHIP,      69,       9,,
100904,024,ENVIRONMENTAL AND NATURAL RESOURCES,      70,.,,
100904,025,EXERCISE SCIENCE AND WELLNESS,      36,.,,
100904,026,FAMILY AND COMMUNITY SERVICES,     112,      30,,
100904,027,FOOD AND SCIENCE TECHNOLOGY,      62,       0,,
100904,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      42,       7,,
100904,030,HEALTH AND WELLNESS,      16,.,,
100904,031,HEALTH INFORMATICS,      89,.,,
100904,032,HEALTHCARE DIAGNOSTICS,      44,      19,,
100904,033,HEALTHCARE THERAPEUTIC,      44,      19,,
100904,034,HVAC AND SHEET METAL,       5,.,,
100904,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      44,.,,
100904,036,LAW ENFORCEMENT,      36,       7,,
100904,037,LEGAL STUDIES,      30,.,,
100904,040,MARKETING AND SALES,       6,       0,,
100904,041,MASONRY,.,       0,,
100904,042,NETWORKING SYSTEMS,      47,.,,
100904,043,NURSING SCIENCE,      53,      10,,
100904,044,OIL AND GAS EXPLORATION AND PRODUCTION,      15,       0,,
100904,045,PLANT SCIENCE,     166,       9,,
100904,046,PLUMBING AND PIPEFITTING,      14,.,,
100904,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
100904,048,REFINING AND CHEMICAL PROCESSES,.,       0,,
100904,049,RENEWABLE ENERGY,      13,.,,
100904,050,TEACHING AND TRAINING,      69,      28,,
100904,052,WEB DEVELOPMENT,      37,.,,
100904,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
100904,059,MEDICAL THERAPY,      46,      11,,
100904,060,WELDING,      37,      19,,
100905,001,ACCOUNTING AND FINANCIAL SERVICES,      24,.,,
100905,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
100905,003,AGRIBUSINESS,      13,.,,
100905,004,ANIMAL SCIENCE,      64,       5,,
100905,005,APPLIED AGRICULTURAL ENGINEERING,      32,      10,,
100905,006,ARCHITECTURAL DESIGN,.,       0,,
100905,011,BUSINESS MANAGEMENT,      13,       5,,
100905,012,CARPENTRY,       0,.,,
100905,014,CULINARY ARTS,      29,.,,
100905,015,CYBERSECURITY,       5,       0,,
100905,017,DIGITAL COMMUNICATIONS,      26,       0,,
100905,019,EARLY LEARNING,      39,.,,
100905,020,ELECTRICAL,.,       0,,
100905,021,EMERGENCY SERVICES,       9,       0,,
100905,022,ENGINEERING,      14,       0,,
100905,023,ENTREPRENEURSHIP,       8,       0,,
100905,024,ENVIRONMENTAL AND NATURAL RESOURCES,      17,       0,,
100905,026,FAMILY AND COMMUNITY SERVICES,      41,.,,
100905,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
100905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      30,       0,,
100905,030,HEALTH AND WELLNESS,      11,       0,,
100905,031,HEALTH INFORMATICS,      58,       0,,
100905,032,HEALTHCARE DIAGNOSTICS,      59,       8,,
100905,033,HEALTHCARE THERAPEUTIC,      59,       8,,
100905,034,HVAC AND SHEET METAL,.,       0,,
100905,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      19,       0,,
100905,036,LAW ENFORCEMENT,      23,       0,,
100905,037,LEGAL STUDIES,       8,       0,,
100905,039,MANUFACTURING TECHNOLOGY,.,       0,,
100905,040,MARKETING AND SALES,.,.,,
100905,041,MASONRY,.,       0,,
100905,042,NETWORKING SYSTEMS,      21,       0,,
100905,043,NURSING SCIENCE,      62,       0,,
100905,045,PLANT SCIENCE,      70,       0,,
100905,046,PLUMBING AND PIPEFITTING,       0,.,,
100905,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
100905,049,RENEWABLE ENERGY,      10,       0,,
100905,050,TEACHING AND TRAINING,      40,.,,
100905,051,"TRAVEL, TOURISM, AND ATTRACTIONS",       5,       0,,
100905,052,WEB DEVELOPMENT,      21,       0,,
100905,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
100905,059,MEDICAL THERAPY,      63,       0,,
100905,060,WELDING,       7,       0,,
100905,064,PRINTING AND IMAGING,.,       0,,
100907,001,ACCOUNTING AND FINANCIAL SERVICES,     180,      17,,
100907,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
100907,003,AGRIBUSINESS,      54,.,,
100907,004,ANIMAL SCIENCE,     102,       9,,
100907,005,APPLIED AGRICULTURAL ENGINEERING,     122,      11,,
100907,011,BUSINESS MANAGEMENT,      92,       7,,
100907,014,CULINARY ARTS,      33,.,,
100907,015,CYBERSECURITY,.,       0,,
100907,017,DIGITAL COMMUNICATIONS,      72,.,,
100907,019,EARLY LEARNING,      73,      24,,
100907,021,EMERGENCY SERVICES,      25,       0,,
100907,022,ENGINEERING,      81,       0,,
100907,023,ENTREPRENEURSHIP,      92,       7,,
100907,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
100907,025,EXERCISE SCIENCE AND WELLNESS,       6,       0,,
100907,026,FAMILY AND COMMUNITY SERVICES,     364,      16,,
100907,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      61,.,,
100907,030,HEALTH AND WELLNESS,      17,       0,,
100907,031,HEALTH INFORMATICS,     195,       0,,
100907,032,HEALTHCARE DIAGNOSTICS,     100,      45,,
100907,033,HEALTHCARE THERAPEUTIC,     100,      48,,
100907,036,LAW ENFORCEMENT,     120,      20,,
100907,037,LEGAL STUDIES,.,       0,,
100907,040,MARKETING AND SALES,      17,.,,
100907,042,NETWORKING SYSTEMS,.,       0,,
100907,043,NURSING SCIENCE,     131,.,,
100907,045,PLANT SCIENCE,     100,       5,,
100907,046,PLUMBING AND PIPEFITTING,.,       0,,
100907,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      38,.,,
100907,050,TEACHING AND TRAINING,     103,       6,,
100907,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
100907,052,WEB DEVELOPMENT,.,       0,,
100907,059,MEDICAL THERAPY,     119,      17,,
100907,060,WELDING,.,.,,
100908,001,ACCOUNTING AND FINANCIAL SERVICES,       5,       0,,
100908,003,AGRIBUSINESS,.,       0,,
100908,004,ANIMAL SCIENCE,      26,.,,
100908,005,APPLIED AGRICULTURAL ENGINEERING,      57,       9,,
100908,013,COSMETOLOGY AND PERSONAL CARE SERVICES,       0,.,,
100908,020,ELECTRICAL,.,       0,,
100908,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
100908,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
100908,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
100908,031,HEALTH INFORMATICS,.,       0,,
100908,032,HEALTHCARE DIAGNOSTICS,.,       0,,
100908,033,HEALTHCARE THERAPEUTIC,.,       0,,
100908,036,LAW ENFORCEMENT,      11,       0,,
100908,043,NURSING SCIENCE,.,       0,,
100908,045,PLANT SCIENCE,      73,.,,
100908,048,REFINING AND CHEMICAL PROCESSES,       0,.,,
100908,059,MEDICAL THERAPY,.,       0,,
101803,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
101803,014,CULINARY ARTS,.,       0,,
101803,022,ENGINEERING,.,       0,,
101803,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
101803,028,GOVERNMENT AND PUBLIC ADMINISTRATION,.,       0,,
101803,032,HEALTHCARE DIAGNOSTICS,.,       0,,
101803,033,HEALTHCARE THERAPEUTIC,.,       0,,
101803,043,NURSING SCIENCE,.,       0,,
101803,049,RENEWABLE ENERGY,.,       0,,
101803,062,GEOSPATIAL ENGINEERING AND LAND SURVEYING,.,       0,,
101804,001,ACCOUNTING AND FINANCIAL SERVICES,      63,      24,,
101804,011,BUSINESS MANAGEMENT,     107,      29,,
101804,015,CYBERSECURITY,       9,       0,,
101804,023,ENTREPRENEURSHIP,      63,      24,,
101804,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
101804,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      90,       9,,
101804,031,HEALTH INFORMATICS,      13,       0,,
101804,032,HEALTHCARE DIAGNOSTICS,      10,       0,,
101804,033,HEALTHCARE THERAPEUTIC,      10,       0,,
101804,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
101804,040,MARKETING AND SALES,.,       0,,
101804,042,NETWORKING SYSTEMS,       8,       0,,
101804,043,NURSING SCIENCE,      10,       0,,
101804,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,       9,       0,,
101804,052,WEB DEVELOPMENT,      16,       0,,
101804,059,MEDICAL THERAPY,      10,       0,,
101804,060,WELDING,.,       0,,
101804,065,RETAIL MANAGEMENT,      35,       0,,
101806,001,ACCOUNTING AND FINANCIAL SERVICES,      40,       0,,
101806,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      13,       7,,
101806,003,AGRIBUSINESS,       6,       0,,
101806,011,BUSINESS MANAGEMENT,      70,       8,,
101806,015,CYBERSECURITY,      11,       0,,
101806,017,DIGITAL COMMUNICATIONS,       6,       0,,
101806,022,ENGINEERING,      36,       0,,
101806,023,ENTREPRENEURSHIP,      40,       0,,
101806,025,EXERCISE SCIENCE AND WELLNESS,       5,       0,,
101806,026,FAMILY AND COMMUNITY SERVICES,       6,       0,,
101806,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
101806,030,HEALTH AND WELLNESS,.,       0,,
101806,031,HEALTH INFORMATICS,       5,       0,,
101806,032,HEALTHCARE DIAGNOSTICS,.,       0,,
101806,033,HEALTHCARE THERAPEUTIC,.,       0,,
101806,039,MANUFACTURING TECHNOLOGY,       7,       0,,
101806,042,NETWORKING SYSTEMS,.,       0,,
101806,043,NURSING SCIENCE,.,       0,,
101806,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
101806,061,DRONE (UNMANNED FLIGHT),      17,       0,,
101811,011,BUSINESS MANAGEMENT,.,       0,,
101811,015,CYBERSECURITY,.,       0,,
101811,052,WEB DEVELOPMENT,.,       0,,
101821,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
101821,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
101821,004,ANIMAL SCIENCE,.,       0,,
101821,007,AUTOMOTIVE,.,       0,,
101821,011,BUSINESS MANAGEMENT,.,       0,,
101821,015,CYBERSECURITY,.,       0,,
101821,017,DIGITAL COMMUNICATIONS,      15,.,,
101821,019,EARLY LEARNING,.,       0,,
101821,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
101821,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       6,       0,,
101821,031,HEALTH INFORMATICS,.,       0,,
