DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
001908,022,ENGINEERING,.,       0,,
001908,023,ENTREPRENEURSHIP,       7,       0,,
001908,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
001908,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
001908,026,FAMILY AND COMMUNITY SERVICES,      21,       0,,
001908,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
001908,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
001908,030,HEALTH AND WELLNESS,      21,       0,,
001908,031,HEALTH INFORMATICS,      44,       0,,
001908,032,HEALTHCARE DIAGNOSTICS,      33,      11,,
001908,033,HEALTHCARE THERAPEUTIC,      33,      11,,
001908,034,HVAC AND SHEET METAL,.,       0,,
001908,036,LAW ENFORCEMENT,      35,.,,
001908,037,LEGAL STUDIES,.,       0,,
001908,040,MARKETING AND SALES,      10,       0,,
001908,041,MASONRY,.,       0,,
001908,043,NURSING SCIENCE,      42,.,,
001908,045,PLANT SCIENCE,      27,.,,
001908,046,PLUMBING AND PIPEFITTING,       5,       0,,
001908,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
001908,050,TEACHING AND TRAINING,      30,      11,,
001908,051,"TRAVEL, TOURISM, AND ATTRACTIONS",.,       0,,
001908,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
001908,059,MEDICAL THERAPY,      42,       0,,
001909,003,AGRIBUSINESS,       9,       0,,
001909,004,ANIMAL SCIENCE,      34,       5,,
001909,005,APPLIED AGRICULTURAL ENGINEERING,      23,       9,,
001909,014,CULINARY ARTS,      25,       0,,
001909,015,CYBERSECURITY,.,       0,,
001909,021,EMERGENCY SERVICES,.,       0,,
001909,024,ENVIRONMENTAL AND NATURAL RESOURCES,      10,       0,,
001909,031,HEALTH INFORMATICS,       6,       0,,
001909,032,HEALTHCARE DIAGNOSTICS,      20,       0,,
001909,033,HEALTHCARE THERAPEUTIC,      20,       0,,
001909,036,LAW ENFORCEMENT,.,       0,,
001909,042,NETWORKING SYSTEMS,.,       0,,
001909,043,NURSING SCIENCE,      20,       0,,
001909,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
001909,052,WEB DEVELOPMENT,.,       0,,
001909,059,MEDICAL THERAPY,       6,       0,,
